['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
47.0 , 4424.1025641 , 4612.82051282 , 4466.15384615 , 4207.17948718 , 4572.82051282 , 4577.94871795 , 4552.30769231 , 4279.48717949 , 4016.92307692 , 3863.58974359 , 4239.48717949 , 4194.87179487 , 4493.33333333 , 4493.84615385 , 1720.0 , 1692.0 , 5.3 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 4421.53846154 , 4612.82051282 , 4465.64102564 , 4207.69230769 , 4572.82051282 , 4576.41025641 , 4552.30769231 , 4276.41025641 , 4011.28205128 , 3864.61538462 , 4235.38461538 , 4193.33333333 , 4492.30769231 , 4491.28205128 , 1720.0 , 1693.0 , 5.308 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 4421.02564103 , 4612.82051282 , 4464.1025641 , 4206.66666667 , 4575.38461538 , 4577.43589744 , 4552.30769231 , 4274.35897436 , 4006.66666667 , 3865.12820513 , 4235.38461538 , 4191.79487179 , 4490.25641026 , 4491.28205128 , 1720.0 , 1693.0 , 5.316 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4423.58974359 , 4610.76923077 , 4464.61538462 , 4206.15384615 , 4571.79487179 , 4578.46153846 , 4552.82051282 , 4271.79487179 , 4011.79487179 , 3864.61538462 , 4237.43589744 , 4191.28205128 , 4490.76923077 , 4492.30769231 , 1719.0 , 1694.0 , 5.324 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4424.1025641 , 4607.69230769 , 4465.64102564 , 4207.69230769 , 4572.30769231 , 4577.94871795 , 4553.33333333 , 4278.46153846 , 4016.92307692 , 3866.66666667 , 4239.48717949 , 4193.33333333 , 4492.30769231 , 4493.84615385 , 1720.0 , 1693.0 , 5.331 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4420.0 , 4608.71794872 , 4464.61538462 , 4207.69230769 , 4575.38461538 , 4580.0 , 4553.84615385 , 4281.53846154 , 4014.35897436 , 3865.12820513 , 4238.97435897 , 4191.28205128 , 4491.79487179 , 4493.84615385 , 1719.0 , 1693.0 , 5.339 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4420.0 , 4611.28205128 , 4464.61538462 , 4206.15384615 , 4574.87179487 , 4581.02564103 , 4553.33333333 , 4283.58974359 , 4017.43589744 , 3866.15384615 , 4243.07692308 , 4195.8974359 , 4494.35897436 , 4495.8974359 , 1720.0 , 1692.0 , 5.347 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4422.56410256 , 4612.30769231 , 4464.1025641 , 4206.15384615 , 4573.84615385 , 4580.51282051 , 4552.82051282 , 4283.58974359 , 4018.46153846 , 3868.20512821 , 4243.58974359 , 4200.0 , 4496.92307692 , 4496.92307692 , 1719.0 , 1692.0 , 5.355 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4421.02564103 , 4609.74358974 , 4466.66666667 , 4206.15384615 , 4574.35897436 , 4580.51282051 , 4553.84615385 , 4287.17948718 , 4021.53846154 , 3871.28205128 , 4245.64102564 , 4201.53846154 , 4501.53846154 , 4499.48717949 , 1721.0 , 1693.0 , 5.363 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4419.48717949 , 4608.20512821 , 4468.71794872 , 4207.17948718 , 4574.87179487 , 4582.56410256 , 4553.84615385 , 4288.20512821 , 4023.58974359 , 3869.74358974 , 4247.17948718 , 4200.51282051 , 4501.53846154 , 4501.53846154 , 1719.0 , 1692.0 , 5.37 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4421.53846154 , 4610.25641026 , 4469.74358974 , 4208.71794872 , 4572.82051282 , 4582.05128205 , 4551.79487179 , 4292.30769231 , 4025.12820513 , 3871.28205128 , 4249.74358974 , 4206.66666667 , 4503.07692308 , 4502.05128205 , 1720.0 , 1694.0 , 5.378 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4421.02564103 , 4614.87179487 , 4468.20512821 , 4209.74358974 , 4574.35897436 , 4581.02564103 , 4551.28205128 , 4291.79487179 , 4020.0 , 3869.74358974 , 4246.15384615 , 4205.12820513 , 4502.56410256 , 4498.46153846 , 1720.0 , 1692.0 , 5.386 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4419.48717949 , 4612.30769231 , 4468.20512821 , 4208.20512821 , 4574.87179487 , 4579.48717949 , 4552.82051282 , 4288.71794872 , 4021.02564103 , 3865.64102564 , 4243.58974359 , 4198.46153846 , 4501.02564103 , 4501.02564103 , 1720.0 , 1694.0 , 5.394 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4421.53846154 , 4607.17948718 , 4468.20512821 , 4205.12820513 , 4571.28205128 , 4578.97435897 , 4552.30769231 , 4286.66666667 , 4023.07692308 , 3865.64102564 , 4243.58974359 , 4195.38461538 , 4497.43589744 , 4501.02564103 , 1721.0 , 1692.0 , 5.402 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4422.56410256 , 4608.71794872 , 4466.15384615 , 4205.12820513 , 4570.76923077 , 4580.51282051 , 4551.79487179 , 4285.12820513 , 4018.97435897 , 3868.71794872 , 4242.05128205 , 4195.8974359 , 4493.33333333 , 4496.92307692 , 1719.0 , 1693.0 , 5.409 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4420.51282051 , 4614.87179487 , 4463.58974359 , 4208.71794872 , 4572.30769231 , 4582.56410256 , 4553.84615385 , 4282.05128205 , 4015.38461538 , 3867.69230769 , 4240.0 , 4194.87179487 , 4491.79487179 , 4493.84615385 , 1720.0 , 1693.0 , 5.416 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4418.97435897 , 4615.38461538 , 4463.07692308 , 4209.23076923 , 4572.30769231 , 4580.0 , 4553.33333333 , 4280.0 , 4015.8974359 , 3866.15384615 , 4238.97435897 , 4192.30769231 , 4491.28205128 , 4491.28205128 , 1720.0 , 1692.0 , 5.424 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4421.02564103 , 4609.74358974 , 4463.58974359 , 4207.17948718 , 4572.82051282 , 4580.0 , 4552.30769231 , 4280.0 , 4015.8974359 , 3867.69230769 , 4238.97435897 , 4192.30769231 , 4490.76923077 , 4492.30769231 , 1720.0 , 1692.0 , 5.432 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4420.51282051 , 4608.71794872 , 4464.61538462 , 4207.17948718 , 4574.87179487 , 4583.07692308 , 4553.33333333 , 4274.35897436 , 4009.74358974 , 3865.12820513 , 4235.8974359 , 4190.25641026 , 4486.66666667 , 4492.82051282 , 1719.0 , 1693.0 , 5.441 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4420.0 , 4610.76923077 , 4464.61538462 , 4209.23076923 , 4571.79487179 , 4581.02564103 , 4553.84615385 , 4274.35897436 , 4010.25641026 , 3863.58974359 , 4235.8974359 , 4191.79487179 , 4488.20512821 , 4491.79487179 , 1721.0 , 1693.0 , 5.449 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4420.0 , 4611.28205128 , 4463.58974359 , 4209.23076923 , 4572.30769231 , 4580.0 , 4553.33333333 , 4276.41025641 , 4014.35897436 , 3865.64102564 , 4238.46153846 , 4192.30769231 , 4493.33333333 , 4491.79487179 , 1719.0 , 1692.0 , 5.457 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4421.53846154 , 4611.28205128 , 4467.17948718 , 4208.71794872 , 4572.82051282 , 4580.51282051 , 4552.30769231 , 4281.02564103 , 4016.92307692 , 3871.28205128 , 4242.56410256 , 4194.87179487 , 4496.41025641 , 4496.92307692 , 1720.0 , 1694.0 , 5.464 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4422.05128205 , 4612.30769231 , 4468.20512821 , 4209.74358974 , 4570.76923077 , 4579.48717949 , 4552.30769231 , 4281.53846154 , 4015.38461538 , 3870.25641026 , 4242.05128205 , 4193.84615385 , 4494.35897436 , 4495.8974359 , 1720.0 , 1692.0 , 5.472 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4422.05128205 , 4611.28205128 , 4465.64102564 , 4208.71794872 , 4572.30769231 , 4578.97435897 , 4553.33333333 , 4286.15384615 , 4020.0 , 3868.71794872 , 4243.58974359 , 4196.41025641 , 4496.41025641 , 4496.41025641 , 1720.0 , 1693.0 , 5.48 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4422.56410256 , 4609.74358974 , 4465.64102564 , 4207.69230769 , 4574.35897436 , 4578.97435897 , 4553.33333333 , 4286.15384615 , 4021.02564103 , 3869.23076923 , 4245.12820513 , 4197.43589744 , 4496.92307692 , 4497.94871795 , 1720.0 , 1692.0 , 5.488 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4423.07692308 , 4610.76923077 , 4469.23076923 , 4208.20512821 , 4573.33333333 , 4578.97435897 , 4552.82051282 , 4289.74358974 , 4024.61538462 , 3871.79487179 , 4249.23076923 , 4201.02564103 , 4499.48717949 , 4501.02564103 , 1719.0 , 1693.0 , 5.496 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4424.61538462 , 4615.38461538 , 4468.20512821 , 4207.69230769 , 4572.82051282 , 4580.0 , 4554.35897436 , 4291.79487179 , 4024.61538462 , 3870.25641026 , 4248.71794872 , 4202.05128205 , 4499.48717949 , 4501.02564103 , 1721.0 , 1693.0 , 5.503 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4423.07692308 , 4615.8974359 , 4469.23076923 , 4206.15384615 , 4575.8974359 , 4581.53846154 , 4554.87179487 , 4291.28205128 , 4026.15384615 , 3871.79487179 , 4247.69230769 , 4204.61538462 , 4499.48717949 , 4500.51282051 , 1719.0 , 1693.0 , 5.511 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4419.48717949 , 4611.79487179 , 4469.23076923 , 4207.17948718 , 4577.43589744 , 4581.53846154 , 4551.79487179 , 4287.17948718 , 4023.07692308 , 3870.76923077 , 4244.61538462 , 4203.07692308 , 4498.46153846 , 4498.97435897 , 1720.0 , 1693.0 , 5.519 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4417.94871795 , 4610.76923077 , 4468.20512821 , 4206.66666667 , 4574.35897436 , 4580.51282051 , 4551.28205128 , 4284.61538462 , 4018.46153846 , 3866.15384615 , 4244.61538462 , 4198.97435897 , 4496.41025641 , 4497.43589744 , 1720.0 , 1692.0 , 5.527 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4420.0 , 4612.82051282 , 4468.20512821 , 4206.66666667 , 4572.82051282 , 4580.51282051 , 4553.84615385 , 4285.12820513 , 4016.92307692 , 3865.12820513 , 4245.12820513 , 4197.43589744 , 4493.84615385 , 4495.8974359 , 1720.0 , 1692.0 , 5.535 , 0.0 , 0.0 , 0.0 , 0.0 , 

